fold,model,train_end,test_start,test_end,mae,rmse,r2
1,naive_current_trend,2020-03-31,2020-04-30,2020-09-30,1.4137562702994013,3.304373091489413,0.9386053895239004
1,linear,2020-03-31,2020-04-30,2020-09-30,3.1827427637960275,4.190345290119803,0.9012694136501329
1,rf,2020-03-31,2020-04-30,2020-09-30,2.377810635434292,4.768838789514267,0.8721274348812493
2,naive_current_trend,2020-09-30,2020-10-31,2021-03-31,1.3404213981170552,3.400548979163851,0.9358814419692469
2,linear,2020-09-30,2020-10-31,2021-03-31,2.7955443424233275,4.936038040677373,0.8649039428988982
2,rf,2020-09-30,2020-10-31,2021-03-31,1.6858482585949837,3.671531052244366,0.9252553540344296
3,naive_current_trend,2021-03-31,2021-04-30,2021-09-30,1.2958428420947583,3.8047501956579706,0.9283974060921931
3,linear,2021-03-31,2021-04-30,2021-09-30,1.39320212083883,2.9359386812588917,0.9573645922124836
3,rf,2021-03-31,2021-04-30,2021-09-30,1.8317136817588144,3.706304561248066,0.9320548177896908
4,naive_current_trend,2021-09-30,2021-10-31,2022-03-31,1.1351841395644426,2.702949275683944,0.9728419032262061
4,linear,2021-09-30,2021-10-31,2022-03-31,1.4840433983969235,3.3057974843862485,0.9593766223808566
4,rf,2021-09-30,2021-10-31,2022-03-31,1.4419277821859282,3.4940322851291294,0.9546186545731511
5,naive_current_trend,2022-03-31,2022-04-30,2022-09-30,1.7669044765539772,5.2384782679790804,0.909215530555725
5,linear,2022-03-31,2022-04-30,2022-09-30,3.055936947382404,6.142216977378625,0.875189370136545
5,rf,2022-03-31,2022-04-30,2022-09-30,2.1473527506612995,5.109081516811515,0.9136451109004129
6,naive_current_trend,2022-09-30,2022-10-31,2023-03-31,2.096244533772322,5.666544565294369,0.8965963094524798
6,linear,2022-09-30,2022-10-31,2023-03-31,2.341166420532265,4.955024385599146,0.9209337731336676
6,rf,2022-09-30,2022-10-31,2023-03-31,1.9536764021184274,4.716925721808026,0.9283497851979168
7,naive_current_trend,2023-03-31,2023-04-30,2023-09-30,1.5560880934901078,4.150967628518537,0.9379116235884428
7,linear,2023-03-31,2023-04-30,2023-09-30,1.7178637832847783,3.4852258888784777,0.9562303097628772
7,rf,2023-03-31,2023-04-30,2023-09-30,1.5208409550392843,3.2856924155942133,0.9610985830109875
8,naive_current_trend,2023-09-30,2023-10-31,2024-03-31,2.060656773362334,6.410052315932274,0.8859435855628666
8,linear,2023-09-30,2023-10-31,2024-03-31,1.9897198186889247,5.889585589308586,0.9037133578749327
8,rf,2023-09-30,2023-10-31,2024-03-31,1.9413124738915364,6.245785926783547,0.8917143878155713
9,naive_current_trend,2024-03-31,2024-04-30,2024-09-30,2.410877058715159,6.8644516614325,0.8830499156364924
9,linear,2024-03-31,2024-04-30,2024-09-30,2.512776918995747,6.151463908618507,0.9060826569479493
9,rf,2024-03-31,2024-04-30,2024-09-30,2.4480336542180607,6.530284192113539,0.894159227551294
10,naive_current_trend,2024-09-30,2024-10-31,2025-03-31,2.4855170251660352,8.393700173995425,0.8965757643060379
10,linear,2024-09-30,2024-10-31,2025-03-31,3.1100372974986206,9.789905498638905,0.859307024248294
10,rf,2024-09-30,2024-10-31,2025-03-31,2.8088042941702414,9.186281410746261,0.8761217941114259
11,naive_current_trend,2025-03-31,2025-04-30,2025-09-30,2.3724601105272742,6.176930419347588,0.9212099682827289
11,linear,2025-03-31,2025-04-30,2025-09-30,3.031721731757502,8.048061809845704,0.8662454812283926
11,rf,2025-03-31,2025-04-30,2025-09-30,2.6196522103042565,7.178349793971634,0.8935918013064389
